TC 	SC 	PY 	MC 	MCI 	MCF 	MCT 	OC 	Gloss
猱 	猱 	náo 	naw 	n- 	-aw 	even 	*nˁu 	a kind of monkey
獶 	獶 	náo 	naw 	n- 	-aw 	even 	*nˁu 	a kind of monkey
夒 	夒 	náo 	naw 	n- 	-aw 	even 	*nˁu 	a kind of monkey
鐃 	铙 	náo 	nræw 	nr- 	-æw 	even 	*nˁrew {*[n]ˁrew} 	a kind of bell
橈 	桡 	náo 	nræwH 	nr- 	-æw 	departing 	*nˁrew-s {*[n]ˁrew-s} 	bent wood
撓 	挠 	náo 	nræwX 	nr- 	-æw 	rising 	*nˁ‹r›awʔ {*nˁ‹r›[a]wʔ} 	disturb
腦 	脑 	nǎo 	nawX 	n- 	-aw 	rising 	*nˁuʔ {*nˁ[u]ʔ} 	brain
訥 	讷 	nè 	nwot 	n- 	-wot 	entering 	*nˁut 	slow of speech
吶 	呐 	nè 	nywet 	ny- 	-jwet 	entering 	*not 	slow of speech
餒 	馁 	něi 	nwojX 	n- 	-woj 	rising 	*nˁujʔ 	hungry, starve
內 	内 	nèi 	nwojH 	n- 	-woj 	departing 	*nˁəp-s {*nˁ[ə]p-s} 	inside
能 	能 	néng 	noj 	n- 	-oj 	even 	*nˁə 	a kind of bear
能 	能 	néng 	nong 	n- 	-ong 	even 	*nˁə {*nˁə(ŋ)} 	a kind of bear
能 	能 	néng 	nong 	n- 	-ong 	even 	*nˁə {*nˁə(ʔ)} ~ *nˁəŋ 	able; ability
麑 	麑 	ní 	mej 	m- 	-ej 	even 	*m-ŋˁe 	fawn
泥 	泥 	ní 	nej 	n- 	-ej 	even 	*C.nˁəj {*C.nˁ[əj]} (~ *nˁ[əj]ʔ) 	mud
泥 	泥 	ní 	nej 	n- 	-ej 	even 	*nˁəj {*nˁ[ə]j} 	mud
尼 	尼 	ní 	nejH 	n- 	-ej 	departing 	*nˁər-s 	to stop, obstruct
泥 	泥 	ní 	nejH 	n- 	-ej 	departing 	*nˁər-s {*nˁər(ʔ)-s} 	impeded, obstructed (Lunyu)
尼 	尼 	ní 	nrij 	nr- 	-ij 	even 	*nrəj {*nr[əj]} 	near, close
怩 	怩 	ní 	nrij 	nr- 	-ij 	even 	*nrəj {*nr[əj]} 	ashamed
擬 	拟 	nǐ 	ngiX 	ng- 	-i 	rising 	*ŋəʔ {*[ŋ](r)əʔ} (‹ uvular) 	estimate, calculate
柅 	柅 	nǐ 	nrijH 	nr- 	-ij 	departing 	*n‹r›ərʔ-s {*n‹r›[ə]rʔ-s} 	a stopper for carriages
柅 	柅 	nǐ 	nrijX 	nr- 	-ij 	rising 	*n‹r›ərʔ {*n‹r›[ə]rʔ} 	a stopper for carriages
溺 	溺 	nì 	nek 	n- 	-ek 	entering 	*nˁewk 	to sink
屰 	屰 	nì 	ngjæk 	ng- 	-jæk 	entering 	*ŋrak 	go against
逆 	逆 	nì 	ngjæk 	ng- 	-jæk 	entering 	*ŋrak 	go against
膩 	腻 	nì 	nrijH 	nr- 	-ij 	departing 	*nrij-s {*nri[j]-s} 	oily
匿 	匿 	nì 	nrik 	nr- 	-ik 	entering 	*nrək 	conceal
䵒 	䵒 	nì 	nrit 	nr- 	-it 	entering 	*n‹r›ik 	adhere; a lady's clothes nearest to the body
䵑 	䵑 	nì 	nrit 	nr- 	-it 	entering 	*n‹r›ik {*n‹r›[i]k} 	glue
暱 	暱 	nì 	nrit 	nr- 	-it 	entering 	*n‹r›ik 	near, familiar
昵 	昵 	nì 	nrit 	nr- 	-it 	entering 	*nrit {*nri[t]} 	close, intimate
年 	年 	nián 	nen 	n- 	-en 	even 	*C.nˁiŋ {*C.nˁi[ŋ]} 	harvest; year
輦 	辇 	niǎn 	ljenX 	l- 	-jen 	rising 	*ranʔ {*[r][a][n]ʔ} 	cart drawn by men
蹍 	蹍 	niǎn 	nrjenX 	nr- 	-jen 	rising 	*nranʔ {*[n]r[a][n]ʔ} 	trample
念 	念 	niàn 	nemH 	n- 	-em 	departing 	*nˁim-s 	think of
溺 	溺 	niào 	newH 	n- 	-ew 	departing 	*kə.nˁewk-s 	urine
齧 	齧 	niè 	nget 	ng- 	-et 	entering 	*m-qʰˁet 	gnaw
闑 	闑 	niè 	nget 	ng- 	-et 	entering 	*ŋˁet 	vertical post or pole
槷 	槷 	niè 	nget 	ng- 	-et 	entering 	*ŋˁet 	vertical pole or post
闑 	闑 	niè 	ngjet 	ng- 	-jet 	entering 	*ŋret {*ŋr[e]t} 	vertical post
踂 	踂 	niè 	nrjep 	nr- 	-jep 	entering 	*n‹r›ep 	unable to walk
聶 	聂 	niè 	nrjep 	nr- 	-jep 	entering 	*nrep 	promise
躡 	蹑 	niè 	nrjep 	nr- 	-jep 	entering 	*nrep 	trample
寧 	宁 	níng 	neng 	n- 	-eng 	even 	*nˁeŋ 	peace
甯 	甯 	níng 	neng 	n- 	-eng 	even 	*nˁeŋ 	peace
凝 	凝 	níng 	nging 	ng- 	-ing 	even 	*ŋəŋ {*[ŋ](r)əŋ} (‹ uvular?) 	freeze, coagulate
牛 	牛 	niú 	ngjuw 	ng- 	-juw 	even 	*ŋʷə {*[ŋ]ʷə} (‹ uvular?) 	ox
狃 	狃 	niǔ 	nrjuwX 	nr- 	-juw 	rising 	*Cə.n‹r›uʔ 	animal tracks
紐 	纽 	niǔ 	nrjuwX 	nr- 	-juw 	rising 	*n‹r›uʔ 	fastener
膿 	脓 	nóng 	nowng 	n- 	-owng 	even 	*C.nˁuŋ 	pus
農 	农 	nóng 	nowng 	n- 	-owng 	even 	*nˁoŋ {*nˁ[o]ŋ} 	agriculture; to farm
弄 	弄 	nòng 	luwngH 	l- 	-uwng 	departing 	*rˁoŋ-s {*[r]ˁoŋ-s} 	manipulate, play with
槈 	槈 	nòu 	nuwH 	n- 	-uw 	departing 	*nˁok-s 	to hoe, to weed
耨 	耨 	nòu 	nuwH 	n- 	-uw 	departing 	*nˁok-s 	to hoe, to weed
奴 	奴 	nú 	nu 	n- 	-u 	even 	*nˁa 	slave
弩 	弩 	nǔ 	nuX 	n- 	-u 	rising 	*C.nˁaʔ 	crossbow
怒 	怒 	nù 	nuX 	n- 	-u 	rising 	*nˁaʔ 	angry
儺 	傩 	nuó 	naX 	n- 	-a 	rising 	*nˁarʔ 	rich, beautiful
籹 	籹 	nǚ 	nrjoX 	nr- 	-jo 	rising 	*nraʔ 	gjoX-nrjoX (a kind of cake)
女 	女 	nǚ 	nrjoX 	nr- 	-jo 	rising 	*nraʔ 	female
女 	女 	nǜ 	nrjoH 	nr- 	-jo 	departing 	*nraʔ-s 	give as a wife
虐 	虐 	nüè 	ngjak 	ng- 	-jak 	entering 	*ŋawk {*[ŋ](r)awk} 	cruel
區 	区 	ōu 	ʔuw 	ʔ- 	-uw 	even 	*qˁo {*qˁ(r)o} 	(a measure)
嘔 	呕 	ǒu 	ʔuwX 	ʔ- 	-uw 	rising 	*qˁoʔ {*qˁ(r)oʔ} 	vomit
偶 	偶 	ǒu 	nguwX 	ng- 	-uw 	rising 	*ŋˁoʔ {*ŋˁ(r)oʔ} 	pair, double
耦 	耦 	ǒu 	nguwX 	ng- 	-uw 	rising 	*ŋˁoʔ {*ŋˁ(r)oʔ} 	pair (n.)
耙 	耙 	pá 	bæ 	b- 	-æ 	even 	*bˁra {*[b]ˁra} 	rake (n.)
拍 	拍 	pāi 	phæk 	ph- 	-æk 	entering 	*mə-pʰˁrak 	to strike
排 	排 	pái 	bɛj 	b- 	-ɛj 	even 	*bˁrəj {*[b]ˁrəj} 	push
扳 	扳 	pān 	pæn 	p- 	-æn 	even 	*pˁran 	pull forward
盤 	盘 	pán 	ban 	b- 	-an 	even 	*bˁan 	tray, basin
畔 	畔 	pàn 	banH 	b- 	-an 	departing 	*m-pˁan-s 	bank between fields
判 	判 	pàn 	phanH 	ph- 	-an 	departing 	*pʰˁan-s 	divide
龐 	庞 	páng 	bæwng 	b- 	-æwng 	even 	*bˁroŋ {*[b]ˁroŋ} 	huge
彷 	彷 	páng 	bang 	b- 	-ang 	even 	*bˁaŋ {*[b]ˁaŋ} 	bang-hwang hestitate
旁 	旁 	páng 	bang 	b- 	-ang 	even 	*bˁaŋ {*[b]ˁaŋ} 	side
徬 	徬 	páng 	bang 	b- 	-ang 	even 	*bˁaŋ {*[b]ˁaŋ} 	walk alongside
蒡 	蒡 	páng 	bang 	b- 	-ang 	even 	*bˁaŋ {*[b]ˁaŋ} 	(a kind of plant)
傍 	傍 	páng 	bang 	b- 	-ang 	even 	*bˁaŋ {*[b]ˁaŋ} 	beside; assist
雱 	雱 	páng 	phang 	ph- 	-ang 	even 	*pʰˁaŋ 	heavy snowfall
匏 	匏 	páo 	bæw 	b- 	-æw 	even 	*bˁru {*(Cə.)[b]ˁru} 	gourd
袍 	袍 	páo 	baw 	b- 	-aw 	even 	*m.pˁu {*[m.p]ˁu} 	long robe
茷 	茷 	pèi 	bajH 	b- 	-aj 	departing 	*bˁat-s {*[b]ˁ[a][t]-s} 	streamer, flutter
佩 	佩 	pèi 	bwojH 	b- 	-woj 	departing 	*bˁək-s {*[b]ˁək-s} 	to wear at girdle, pendants
轡 	辔 	pèi 	pijH 	p- 	-ij 	departing 	*prit-s {*pr[i][t]-s} 	reins
盆 	盆 	pén 	bwon 	b- 	-won 	even 	*bˁən {*(Cə.)[b]ˁə[n]} 	bowl, basin
烹 	烹 	pēng 	phæng 	ph- 	-æng 	even 	*p.qʰˁraŋ {*[p.qʰ]ˁraŋ} 	boil (v.)
亨 	亨 	pēng 	phæng 	ph- 	-æng 	even 	*p.qʰˁraŋ {*[p.qʰ]ˁraŋ} 	(loan for) to boil
彭 	彭 	péng 	bæng 	b- 	-æng 	even 	*C.bˁraŋ {*C.[b]ˁraŋ} 	(place name)
棚 	棚 	péng 	bong 	b- 	-ong 	even 	*C.bˁəŋ 	awning, sail
朋 	朋 	péng 	bong 	b- 	-ong 	even 	*bˁəŋ {*[b]ˁəŋ} 	set of cowries; friend
丕 	丕 	pī 	phij 	ph- 	-ij 	even 	*pʰrə 	great
被 	被 	pī 	phje 	ph- 	-je 	even 	*mə-pʰaj {*mə-pʰ(r)aj} 	cover oneself with
披 	披 	pī 	phje 	ph- 	-je 	even 	*pʰaj {*pʰ(r)aj} 	divide
鼙 	鼙 	pí 	bej 	b- 	-ej 	even 	*bˁe {*[b]ˁe} 	small hand-drum
罷 	罢 	pí 	bje 	b- 	-je 	even 	*braj {*[b]raj} 	wear out, exhaust
皮 	皮 	pí 	bje 	b- 	-je 	even 	*m-paj {*m-[p](r)aj} 	skin
貔 	貔 	pí 	bjij 	b- 	-jij 	even 	*bij {*[b]ij} 	tiger-like animal
毗 	毗 	pí 	bjij 	b- 	-jij 	even 	*bij {*[b]ij} 	assist
羆 	罴 	pí 	pje 	p- 	-je 	even 	*praj 	brown-and-white bear
擗 	擗 	pǐ 	bjiek 	b- 	-jiek 	entering 	*bek {*[b]ek} 	beat the breast
匹 	匹 	pǐ 	phjit 	ph- 	-jit 	entering 	*pʰit {*pʰi[t]} 	one of a pair
被 	被 	pì 	phjeH 	ph- 	-je 	departing 	*pʰaj-s {*pʰ(r)aj-s} 	cloak
譬 	譬 	pì 	phjieH 	ph- 	-jie 	departing 	*pʰek-s 	example
僻 	僻 	pì 	phjiek 	ph- 	-jiek 	entering 	*pʰek 	perverse
偏 	偏 	piān 	phjien 	ph- 	-jien 	even 	*pʰen {*pʰe[n]} 	oblique
篇 	篇 	piān 	phjien 	ph- 	-jien 	even 	*pʰen {*pʰe[n]} 	section in writing
翩 	翩 	piān 	phjien 	ph- 	-jien 	even 	*pʰen {*pʰe[n]} 	fly, flutter about
便 	便 	pián 	bjien 	b- 	-jien 	even 	*ben {*[b]e[n]} 	glib-tongued
片 	片 	piàn 	phenH 	ph- 	-en 	departing 	*pʰˁen-s {*pʰˁe[n]-s} 	half; partial
瓢 	瓢 	piáo 	bjiew 	b- 	-jiew 	even 	*bew {*(Cə.)[b]ew} 	gourd
票 	票 	piào 	phjiew 	ph- 	-jiew 	even 	*pʰew 	leaping flames (SW)
貧 	贫 	pín 	bin 	b- 	-in 	even 	*brən {*(Cə.)[b]rə[n]} 	poor
頻 	频 	pín 	bjin 	b- 	-jin 	even 	*bin {*[b]i[n]} 	river bank
頻 	频 	pín 	bjin 	b- 	-jin 	even 	*bin {*[b]i[n]} 	frequently
牝 	牝 	pìn 	bjijX 	b- 	-jij 	rising 	*birʔ {*[b]irʔ} (dial. *-r › *-j) 	female of animals
牝 	牝 	pìn 	bjinX 	b- 	-jin 	rising 	*birʔ {*[b]irʔ} 	female of animals
甹 	甹 	pīng 	pheng 	ph- 	-eng 	even 	*p.l̥ˁeŋ {*[p.l̥]ˁeŋ} 	frank words (SW)
娉 	娉 	pīng 	phjiengH 	ph- 	-jieng 	departing 	*p.l̥eŋ-s 	inquire about (marriage)
屏 	屏 	píng 	beng 	b- 	-eng 	even 	*bˁeŋ {*[b]ˁeŋ} 	screen; to protect
缾 	缾 	píng 	beng 	b- 	-eng 	even 	*bˁeŋ {*(Cə.)[b]ˁeŋ} 	pitcher
馮 	冯 	píng 	bing 	b- 	-ing 	even 	*brəŋ {*[b]rəŋ} 	full, solid
憑 	凭 	píng 	bing 	b- 	-ing 	even 	*brəŋ {*[b]rəŋ} 	lean on
平 	平 	píng 	bjæng 	b- 	-jæng 	even 	*breŋ 	even (adj.)
平 	平 	píng 	bjæng 	b- 	-jæng 	even 	*m-breŋ 	make even
馮 	冯 	píng 	bjuwng 	b- 	-juwng 	even 	*Cə.bəŋ {*[Cə.b]əŋ} 	Féng (surname)
婆 	婆 	pó 	ba 	b- 	-a 	even 	*bˁaj {*[b]ˁaj} 	ba.sa saunter, dance
皤 	皤 	pó 	ba 	b- 	-a 	even 	*bˁar {*[b]ˁar} 	white, white-haired
迫 	迫 	pò 	pæk 	p- 	-æk 	entering 	*Cə.pˁrak 	near; press
破 	破 	pò 	phaH 	ph- 	-a 	departing 	*pʰˁaj-s 	break (v.)
霸 	霸 	pò 	phæk 	ph- 	-æk 	entering 	*pʰˁrak 	new moon
魄 	魄 	pò 	phæk 	ph- 	-æk 	entering 	*pʰˁrak 	bodily form
膊 	膊 	pò 	phak 	ph- 	-ak 	entering 	*pʰˁak 	dismember
痡 	痡 	pū 	phju 	ph- 	-ju 	even 	*pʰa {*pʰ(r)a} 	suffering, exhausted
仆 	仆 	pū 	phjuH 	ph- 	-ju 	departing 	*pʰok-s {*pʰ(r)ok-s} 	fall prostrate
仆 	仆 	pū 	phjuwH 	ph- 	-juw 	departing 	*pʰok-s 	fall prostrate
痡 	痡 	pū 	phu 	ph- 	-u 	even 	*pʰˁa 	suffering, exhausted
仆 	仆 	pū 	phuwH 	ph- 	-uw 	departing 	*pʰˁok-s {*pʰˁ(r)ok-s} 	fall prostrate
撲 	扑 	pū 	phuwk 	ph- 	-uwk 	entering 	*pʰˁok 	beat (v.)
匍 	匍 	pú 	bu 	b- 	-u 	even 	*bˁa {*[b]ˁa} 	crawl
蒲 	蒲 	pú 	bu 	b- 	-u 	even 	*bˁa {*[b]ˁa} 	part of personal name
僕 	仆 	pú 	buwk 	b- 	-uwk 	entering 	*bˁok {*[b]ˁok} 	charioteer, servant
樸 	朴 	pǔ 	phæwk 	ph- 	-æwk 	entering 	*pʰˁrok 	unworked wood
浦 	浦 	pǔ 	phuX 	ph- 	-u 	rising 	*pʰˁaʔ 	river bank
暴 	暴 	pù 	buwk 	b- 	-uwk 	entering 	*m-pˁawk 	expose to sun
曝 	曝 	pù 	buwk 	b- 	-uwk 	entering 	*m-pˁawk 	expose to the sun
期 	期 	qī 	gi 	g- 	-i 	even 	*ɡə {*[ɡ](r)ə} 	period of time
欺 	欺 	qī 	khi 	kh- 	-i 	even 	*kʰə {*kʰ(r)ə} 	to deceive, cheat
棲 	栖 	qī 	sej 	s- 	-ej 	even 	*s-nˁər 	bird's nest
栖 	栖 	qī 	sej 	s- 	-ej 	even 	*s-nˁər 	roost (v.)
妻 	妻 	qī 	tshej 	tsh- 	-ej 	even 	*tsʰˁəj {*[tsʰ]ˁəj} 	consort, wife
萋 	萋 	qī 	tshej 	tsh- 	-ej 	even 	*tsʰˁəj {*[tsʰ]ˁəj} 	ample, rich, luxuriant
慼 	慼 	qī 	tshek 	tsh- 	-ek 	entering 	*s-tʰˁiwk 	anxiously thoughtful
戚 	戚 	qī 	tshek 	tsh- 	-ek 	entering 	*s.tʰˁiwk 	(in 'toad')
戚 	戚 	qī 	tshek 	tsh- 	-ek 	entering 	*s.tʰˁiwk 	relatives
戚 	戚 	qī 	tshek 	tsh- 	-ek 	entering 	*s.tʰˁiwk 	kind of battle axe
鏚 	鏚 	qī 	tshek 	tsh- 	-ek 	entering 	*s.tʰˁiwk 	axe
戚 	戚 	qī 	tshek 	tsh- 	-ek 	entering 	*s.tʰˁiwk 	worried; sad; depressed
七 	七 	qī 	tshit 	tsh- 	-it 	entering 	*tsʰit {*[tsʰ]i[t]} 	seven
桼 	桼 	qī 	tshit 	tsh- 	-it 	entering 	*tsʰit {*[tsʰ]i[t]} 	varnish
齊 	齐 	qí 	dzej 	dz- 	-ej 	even 	*dzˁəj {*[dz]ˁəj} 	uniform, equal
棋 	棋 	qí 	gi 	g- 	-i 	even 	*Cə.ɡə {*Cə.[ɡ](r)ə} 	chess, board game
旗 	旗 	qí 	gi 	g- 	-i 	even 	*ɡə {*[ɡ](r)ə} 	flag
綦 	綦 	qí 	gi 	g- 	-i 	even 	*ɡə {*[ɡ](r)ə} 	gray or bluish-black
綦 	綦 	qí 	gi 	g- 	-i 	even 	*ɡə {*[ɡ](r)ə} 	sandal cord
騏 	骐 	qí 	gi 	g- 	-i 	even 	*ɡə {*[ɡ](r)ə} 	black-mottled grey horse
其 	其 	qí 	gi 	g- 	-i 	even 	*ɡə 	modal particle
其 	其 	qí 	gi 	g- 	-i 	even 	*ɡə 	(3p possessive)
丌 	丌 	qí 	gi 	g- 	-i 	even 	*ɡə {*[ɡ]ə} 	(3p possessive)
綦 	綦 	qí 	giH 	g- 	-i 	departing 	*ɡə-s {*[ɡ](r)ə()-s} 	sandal cord
耆 	耆 	qí 	gij 	g- 	-ij 	even 	*ɡrij {*[ɡ]rij} 	old
鰭 	鳍 	qí 	gij 	g- 	-ij 	even 	*ɡrij {*[ɡ]rij} 	dorsal fin of a fish
蟣 	虮 	qí 	gjɨj 	g- 	-jɨj 	even 	*C.ɡəj {*C.[ɡ]əj} 	[not in GSR:] leech
旂 	旂 	qí 	gjɨj 	g- 	-jɨj 	even 	*C.ɢər {*C.[ɢ]ər} 	banner; flag
騎 	骑 	qí 	gje 	g- 	-je 	even 	*C.ɡaj {*[C.ɡ](r)aj} ~ *[Cə.ɡ](r)aj 	straddle; ride
錡 	锜 	qí 	gje 	g- 	-je 	even 	*C.ɢaj {*C.ɢ(r)aj} 	cooking pot
奇 	奇 	qí 	gje 	g- 	-je 	even 	*ɡaj {*[ɡ](r)aj} 	strange
騎 	骑 	qí 	gjeH 	g- 	-je 	departing 	*ɡaj-s {*[ɡ](r)aj-s} 	rider
歧 	歧 	qí 	gjie 	g- 	-jie 	even 	*N-ke (dial.: no palatalization) 	forked (road)
祇 	祇 	qí 	gjie 	g- 	-jie 	even 	*k.de {*[k.d]e} (dial. › *ɡ-, no palatalization) 	earth spirit
䭫 	䭫 	qǐ 	khejX 	kh- 	-ej 	rising 	*kʰˁijʔ 	bow the head to the ground
启 	启 	qǐ 	khejX 	kh- 	-ej 	rising 	*kʰˁijʔ 	open (v.)
起 	起 	qǐ 	khiX 	kh- 	-i 	rising 	*C.qʰəʔ {*C.qʰ(r)əʔ} 	rise (v.)
豈 	岂 	qǐ 	khjɨjX 	kh- 	-jɨj 	rising 	*C.qʰəjʔ 	how
乞 	乞 	qǐ 	khjɨt 	kh- 	-jɨt 	entering 	*C.qʰət 	beg, ask
綺 	绮 	qǐ 	khjeX 	kh- 	-je 	rising 	*kʰajʔ {*[k]ʰ(r)a[j]ʔ} 	patterned silk
契 	契 	qì 	khejH 	kh- 	-ej 	departing 	*kʰˁet-s {*[kʰ]ˁet-s} 	script notches
亟 	亟 	qì 	khiH 	kh- 	-i 	departing 	*kʰək-s {*kʰ(r)ək-s} 	often
器 	器 	qì 	khijH 	kh- 	-ij 	departing 	*kʰrət-s {*[kʰ]r[ə][t]-s} 	vessel; instrument
泣 	泣 	qì 	khip 	kh- 	-ip 	entering 	*k-r̥əp 	weep
气 	气 	qì 	khjɨjH 	kh- 	-jɨj 	departing 	*C.qʰəp-s 	(inhaled thing:) breath, air, vapors
氣 	气 	qì 	khjɨjH 	kh- 	-jɨj 	departing 	*kʰəp-s {*[k]ʰəp-s} 	cloudy vapors
愒 	愒 	qì 	khjet 	kh- 	-jet 	entering 	*C.qʰrat 	to rest
棄 	弃 	qì 	khjijH 	kh- 	-jij 	departing 	*kʰit-s {*[kʰ]i[t]-s} 	throw away, abandon
妻 	妻 	qì 	tshejH 	tsh- 	-ej 	departing 	*tsʰˁəj-s {*[tsʰ]ˁəj-s} 	give as wife
洽 	洽 	qià 	hɛp 	h- 	-ɛp 	entering 	*ɢˁ‹r›op {*[ɢ]ˁ‹r›[o]p} 	accord with
幵 	幵 	qiān 	ken 	k- 	-en 	even 	*kˁer {*[k]ˁer} 	even, level (SW)
謙 	谦 	qiān 	khem 	kh- 	-em 	even 	*k-r̥ˁem 	modest
牽 	牵 	qiān 	khen 	kh- 	-en 	even 	*kʰˁin {*[k]ʰˁi[n]} 	pull, lead, drag
牽 	牵 	qiān 	khen 	kh- 	-en 	even 	*kʰˁin {*[k]ʰˁi[n]} 	pull, lead, drag
愆 	愆 	qiān 	khjen 	kh- 	-jen 	even 	*C.ɢran {*C.qʰra[n]} 	exceed, err
褰 	褰 	qiān 	khjen 	kh- 	-jen 	even 	*kʰran {*kʰra[n]} 	trousers; lift up (a garment)
千 	千 	qiān 	tshen 	tsh- 	-en 	even 	*s.n̥ˁiŋ 	thousand
譣 	譣 	qiān 	tshjem 	tsh- 	-jem 	even 	*s.qʰam {*s.qʰ[a]m } (dial. › tsh-) 	insincere, ingratiating
𠨧 	𠨧 	qiān 	tshjen 	tsh- 	-jen 	even 	*tsʰar {*[tsʰ]ar} 	rise high (SW)
遷 	迁 	qiān 	tshjen 	tsh- 	-jen 	even 	*tsʰar {*[tsʰ]ar} 	move (v.)
餰 	餰 	qiān 	tsyen 	tsy- 	-en 	even 	*t-qan {*t-qa[n]} 	gruel
前 	前 	qián 	dzen 	dz- 	-en 	even 	*dzˁen ~ *m-dzˁen 	before
潛 	潜 	qián 	dzjem 	dz- 	-jem 	even 	*dzom {*[dz][o]m} 	go under water
潛 	潜 	qián 	dzjemH 	dz- 	-jem 	departing 	*dzom-s {*[dz][o]m-s} 	to hide; secretly
鉗 	钳 	qián 	gjem 	g- 	-jem 	even 	*C.ɡ‹r›em {*C.[ɡ]‹r›em} 	pincers, tongs
虔 	虔 	qián 	gjen 	g- 	-jen 	even 	*ɡran {*[ɡ]ra[n]} 	kill; cut (v.)
燂 	燂 	qián 	zjem 	z- 	-jem 	even 	*sə-lom 	heat; roast; boil (meat)
遣 	遣 	qiǎn 	khjienX 	kh- 	-jien 	rising 	*kʰenʔ {*[k]ʰe[n]ʔ} 	send
譣 	譣 	qiǎn 	tshjemX 	tsh- 	-jem 	rising 	*s.qʰamʔ {*s.qʰ[a]mʔ} (dial. › tsh-) 	insincere, ingratiating
淺 	浅 	qiǎn 	tshjenX 	tsh- 	-jen 	rising 	*tsʰenʔ {*[ts]ʰe[n]ʔ} 	shallow
遣 	遣 	qiàn 	khjienH 	kh- 	-jien 	departing 	*kʰenʔ-s {*[k]ʰe[n]ʔ-s} (*kʰ- doesn't palatalize) 	grave goods
欠 	欠 	qiàn 	khjomH 	kh- 	-jom 	departing 	*kʰom-s {*[k]ʰ(r)om-s} 	yawn
塹 	堑 	qiàn 	tshjemH 	tsh- 	-jem 	departing 	*tsʰam-s {*[tsʰ]am-s} 	moat; dig out
羌 	羌 	qiāng 	khjang 	kh- 	-jang 	even 	*C.qʰaŋ 	western tribes
羌 	羌 	qiāng 	khjang 	kh- 	-jang 	even 	*C.qʰaŋ 	western tribes
強 	强 	qiáng 	gjang 	g- 	-jang 	even 	*N-kaŋ 	strong
彊 	彊 	qiáng 	gjang 	g- 	-jang 	even 	*ɡaŋ {*[ɡ]aŋ} 	strong
强 	强 	qiǎng 	gjangX 	g- 	-jang 	rising 	*m-kaŋʔ 	by force
蹻 	𫏋 	qiāo 	gjak 	g- 	-jak 	entering 	*ɡawk {*[ɡ](r)awk} 	lifting the feet high
喬 	乔 	qiáo 	gjew 	g- 	-jew 	even 	*N-kaw {*[N-k](r)aw} 	high, tall
橋 	桥 	qiáo 	gjew 	g- 	-jew 	even 	*ɡaw {*[ɡ](r)aw} 	bridge
翹 	翘 	qiáo 	gjiew 	g- 	-jiew 	even 	*ɡew {*[ɡ]ew} (failure to palatalize is unexplained) 	long tail-feather
翹 	翘 	qiáo 	gjiew 	g- 	-jiew 	even 	*ɡew {*[ɡ]ew} 	raise
巧 	巧 	qiǎo 	khæwX 	kh- 	-æw 	rising 	*kʰˁruʔ {*[kʰ]ˁruʔ} 	artful
且 	且 	qiě 	tshjæX 	tsh- 	-jæ 	rising 	*tsʰaʔ {*[tsʰ]Aʔ} 	moreover
匧 	匧 	qiè 	khep 	kh- 	-ep 	entering 	*kʰˁep {*[k]ʰˁep} 	to store; basket, box
竊 	窃 	qiè 	tshet 	tsh- 	-et 	entering 	*tsʰˁet {*[tsʰ]ˁet} 	steal
切 	切 	qiè 	tshet 	tsh- 	-et 	entering 	*tsʰˁit {*[tsʰ]ˁi[t]} 	cut; urgent
妾 	妾 	qiè 	tshjep 	tsh- 	-jep 	entering 	*tsʰap {*[tsʰ]ap} 	concubine
衾 	衾 	qīn 	khim 	kh- 	-im 	even 	*kʰəm {*[k]ʰ(r)[ə]m} 	coverlet
侵 	侵 	qīn 	tshim 	tsh- 	-im 	even 	*tsʰim {*[tsʰ][i]m} 	invade
親 	亲 	qīn 	tshin 	tsh- 	-in 	even 	*tsʰin {*[tsʰ]i[n]} 	close; parents
鬵 	鬵 	qín 	dzim 	dz- 	-im 	even 	*sə-ləm {*sə-l[ə]m} (irreg. dz- for z-?) 	large boiler
秦 	秦 	qín 	dzin 	dz- 	-in 	even 	*dzin {*[dz]i[n]} 	Qín (place name)
禽 	禽 	qín 	gim 	g- 	-im 	even 	*C.ɢəm {*[C.ɢ](r)[ə]m} 	bird; animal
禽 	禽 	qín 	gim 	g- 	-im 	even 	*C.ɢəm {*[C.ɢ](r)[ə]m} 	catch, capture
琴 	琴 	qín 	gim 	g- 	-im 	even 	*C.ɢəm {*[C.ɢ](r)[ə]m} 	lute
矜 	矜 	qín 	gin 	g- 	-in 	even 	*ɡriŋ 	kind of lance
堇 	堇 	qín 	gin 	g- 	-in 	even 	*ɡrər {*[ɡ]rə[r]} 	clay
勤 	勤 	qín 	gjɨn 	g- 	-jɨn 	even 	*ɡər {*[ɡ]ər} 	toil, diligent, devoted
懃 	懃 	qín 	gjɨn 	g- 	-jɨn 	even 	*ɡər {*[ɡ]ər} 	toil, diligent, devoted
鬵 	鬵 	qín 	zim 	z- 	-im 	even 	*sə-ləm {*sə-l[ə]m} 	large boiler
螼 	螼 	qǐn 	khinH 	kh- 	-in 	departing 	*C-qʰrərʔ-s {*C-qʰrə[r]ʔ-s} 	earthworm
螼 	螼 	qǐn 	khinX 	kh- 	-in 	rising 	*C-qʰrərʔ {*C-qʰrə[r]ʔ} 	earthworm
寢 	寝 	qǐn 	tshimX 	tsh- 	-im 	rising 	*tsʰimʔ {*[tsʰ][i]mʔ} 	sleep
