CHARACTER	Bijiang Bai	Classic Old Chinese	Comments	Dali Bai	Dialectal data	Early Postclassic Chinese	Eastern Han Chinese	English meaning	Four-angle index	Go-on	Japanese reading	Jianchuan Bai	Kan-on	Karlgren code	Late Postclassic Chinese	Middle Chinese	Middle Postclassic Chinese	Modern .Beijing. reading	Preclassic Old Chinese	Radical	Russian meaning.s.	Shijing occurrences	Sino-Tibetan etymology	Vietnamese reading	Western Han Chinese
歆		hǝm	In Viet. also read as hám (reflecting an unattested MC reading with  falling tone?).			him	hǝm		4804					0653 j	him	xim	him	xīn	hǝm	76	наслаждение, услада; услаждаться; быть растроганным (тронутым)			ham	hǝm
揚		Łaŋ	Standard Sino-Viet. is du'o'ng. Another probable loan from the same source is Viet. nâng 'to raise, elevate' (with nasal assimilation, attested also in some other cases). The same word can be also written as 颺 in the classics ('to rise (of wind)' etc.). Used also for *Łaŋ 'forehead; metal frontlet of a horse'.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1399&root=config	źaŋ	źaŋ		4387	yau	yō+;ageru+;agaru+		yau	0720 j-o	jaŋ	jaŋ	jaŋ	yáng	Łaŋ	64	1) поднять руку; поднять; вздымать; 2) возвышать, прославлять; 3) повышать (<i>голос</i>); усиливать (<i>звук</i>); 4) довольный, самодовольный; горделивый; 5) просеивать, веять; 6) обмахивать(ся) (<i>веером</i>); 7) распространять(ся); обнародовать	47.2, 47.3	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1959&root=config	dang	laŋ
肩		kēn	During LZ also borrowed for *g(h)ēn / *g(h)ǝ̄n (MC ɣien, ɣлn, Pek. xián, hén) 'thin, emaciated'.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+649&root=config	kiēn	kiān		3502					0240 a	kiēn	kien	kiēn	jiān	kēn	130	плечо; нести на плечах				kjān
懾									2679									zhé		61	бояться; пугливый; [shè] 1) пугать; 2) подавлять				
辰		d(h)ǝn	Also used for a homonymous *d(h)ǝr 'planet; date, point in time'. Standard Sino-Viet. is thần.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+462&root=config	ʒ́(h)in	ʒ́(h)ǝn		5638					0455 a-g	ʒ́(h)in	ʒ́in	ʒ́(h)in	chén	d(h)ǝr	161	1) 5-й циклический знак из 12; время с 7 до 9 часов утра; утро; 2) 12-теричный цикл; знаки зодиака; 3) время; день; 4) небесные тела; созвездие; 5) <i>сокр.</i> г. Чэньчжоу (<i>в провинции Хунань</i>)			thìn	d(h)ǝn
粻									0					0721 i				zhāng		0					
驩		hwān				hwān	hwān		925					0158 l	hwān	xwân	hwān	huān	hʷār	187	1) смирный (послушный) конь; 2) счастливый, радостный; радоваться, <i>см.</i> 歡				hwān
茀		pǝt	The original reading of the character must have been OC *phǝt (MC phüt) 'shrubby, dense' - attested only during LZ. During EZ the character is attested with the reading *pǝt 'to clear away; screen', which Schüssler regards as the same word as 弗 *pǝt q.v.; also used for *pǝt '(perhaps): be large' and *pǝt '(perhaps): good fortune'; *pǝt 'head ornament' (in Yijing, not mentioned by Schüssler); in Zuozhuan also used as a loan for 紼 *pǝt 'rope' q. v.			pwɨt	pwǝt		0					0500 k	pwɨt	püt	pwɨt	fú	pǝt	0		57.3			pǝt
霣		w(h)rǝ́n				w(h)ín	w(h)rǝ́n		0					0227 i	w(h)ín	wín	w(h)ín	yǔn	w(h)rǝnʔ	0					w(h)rǝ́n
鏡		kraŋh	Regular Sino-Viet. is kính.	ker2-	response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2450&root=config	kèŋ	kreŋh		7405			kɛ̃2-		0752 c	kèŋ	kä̀iŋ	kèŋ	jìng	kraŋs	167	1) зеркало; зеркальный; 2) очки, линза, оптическое стекло; 3) прозрачный; ясный; 4) проверять себя; извлекать уроки (<i>из чужих ошибок</i>)			gu'o'ng	kraŋh
硎		g(h)ēŋ				giēŋ (~ ɣ-)	giēŋ (~ ɣ-)		2838					0808 f	giēŋ (~ ɣ-)	ɣieŋ	giēŋ (~ ɣ-)	xíng	g(h)ēŋ	112	точильный камень, оселок		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=2404&root=config		gēŋ (~ ɣ-)
膺		ʔrǝŋ				ʔiŋ	ʔrǝŋ		3526						ʔiŋ	ʔiŋ	ʔiŋ	yīng	ʔrǝŋ	130	1) грудь; 2) занимать (<i>пост</i>); получить, заслужить (<i>награду</i>); 3) бить; поразить				ʔrǝŋ
氈		tan			response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2263&root=config	ćen	ćan		7207					0148 l	ćen	ćen	ćen	zhān	tan	82	войлок; грубая шерстяная ткань				tan
扶		bha	During Early Zhou attested only within 扶蘇 *bha-sā 'fu-su tree'. Since Late Zhou, however, the basic meaning 'to support, assist' is already attested, as well as a loan usage for *pa (MC pü, Pek. fū) 'breadth of 4 fingers); *bha / *phā (MC bü, pho, Pek. fú, pū) 'to crawl'. For *bh- cf. Longdu phu<sup>2</sup>, phua<sup>2</sup>, Yilan phɔ<sup>2</sup>.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+399&root=config	bhwo	bhwa		5068					0101 f	bhwo	bü	bhwo	fú	bha	64	1) поддерживать, подпирать; опираться руками; 2) помогать, выручать; 3) превозмогать, преодолевать, стойко переносить (<i>напр. болезнь</i>); 4) густой (<i>о растительности</i>); 5) бирка гадательная; гадать; 6) Фу (<i>фамилия</i>)		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+231&root=config	phò	bha
沖		d(h)ruŋ				ḍ(h)ɨuŋ	ḍ(h)ǝuŋ		2630					1007 p-q	ḍ(h)uŋ	ḍüŋ	ḍ(h)uŋ	chōng	d(h)ruŋ	85	1) размывать; промывать; затоплять; 2) запивать; разбавлять водой; 3) варить; 4) ударять; сталкиваться, <i>см.</i> 衝; 5) вздыматься, взлетать, лететь; 6) искусственный, поддельный; 7) молодой, зеленый, неопытный; 8) скромный; мягкий, уступчивый; 9) крепкий (<i>напр. табак</i>)		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1065&root=config		ḍ(h)ǝuŋ
躇		dhra	Attested only within the compound 躊躇 *dhru-dhra id. For *dh- cf. Fuzhou thiu<sup>2</sup>-thü<sup>2</sup>. Another attested reading is *thrak, MC ṭhak, Pek. chuo 'jump over, pass over'.			ḍho	ḍha		1623					0045 |o ́	ḍho	ḍö	ḍho	chú	dhra	157	переминаться, переступать с ноги на ногу; нерешительный; колебания				ḍha
戁		n(h)án	Also read *n(h)ārʔ id. with irregular MC reflex ṇạ́n (nấn would be normally expected), Pek. nǎn.			ń(h)én	ń(h)án		8364					0152 h	ń(h)én	ńén	ń(h)én	nǎn	n(h)arʔ	61	благоговеть (<i>перед кем-л.</i>)				n(h)án
鬒		tín				ćín	ćǝ́n		0					0375 d	ćín	ćǐn	ćín	zhěn	tinʔ	0		47.2	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=2722&root=config		tjǝ́n
淬		shwǝ̄ć	Viet. tr- here is rather enigmatic; standard Sino-Viet. is tôi (also irregular). See also 焠.			shwǝ̄ś	shwǝ̄ś		2313					0490 f	shwǝ̄̀j	chòj	shwǝ̄̀j	cuì	shūts	85	закалка; закаливать (<i>сталь</i>); погружать в воду		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1385&root=config	trui	shwǝ̄ś
懰									0					1114 |b ́				lǐu		0					
師		srij			response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+921&root=config	ṣɨj	ṣǝj		3916					0559 a-e	ṣɨj	ṣi	ṣɨj	shī	srij	50	1) дивизия; дивизионный; войско; 2) наставник, учитель; мастер; учить; 3) подражать, учиться у...; пример, образец; 4) Ши (<i>фамилия</i>)	2.3	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+738&root=config	su'	ṣjǝj
鯨		graŋ	Modern Mand. jīng, as well as Fuzhou kiŋ<sup>1</sup> point to a variant *kraŋ;  therefore aspiration in Chaozhou kheŋ<sup>2</sup> is probably secondary (due to the  level tone) and does not point to OC *ghraŋ.			geŋ	greŋ		8222					0755 f	geŋ	gäiŋ	geŋ	jīng	graŋ	195	кит			kình	graŋ
苴		ca	Also read OC *ćha, MC chjö (FQ 七余), OC *ćaʔ, MC cjö́ (FQ 子與) id.			cjo	cja		623	so	sho;so;asa		siyo	0046 t	cjo	cjö	cjo	jū	ća	140	1) завертывать, заворачивать (<i>напр. в листья</i>); сверток; 2) конопляное семя; 3) траур; траурный		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1387&root=config		ca
啄		trōk	Also read *tōk, MC tuk, Mod. du id.			ṭọ̄k	ṭōk		5613					1218 b	ṭọ̄k		ṭọ̄k	zhuó	trōk	30	1) клюв; клевать; 2) штрих (<i>одна из 8 основных черт китайской каллиграфии</i>)				ṭōk
紹		d(h)áw	See also 夭.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1260&root=config	ʒ́(h)éw	ʒ́(h)áw		1354					1131 z	ʒ́(h)éw	ʒ́éw	ʒ́(h)éw	shào	d(h)awʔ	120	1) продолжать, наследовать, преемствовать; 2) рекомендовать; посредничать; 3) <i>сокр.</i> Шаосин (<i>город в провинции Чжэцзян</i>)				d(h)áw
旅		rá	Used also for homonymous *raʔ 'buffcoat' and *raʔ 'to lodge'. For *r- cf. Min forms: Xiamen lu<sup>3</sup>, Chaozhou li<sup>3</sup>, Fuzhou, Jianou lü<sup>3</sup>.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+953&root=config	ló	rá		5670					0077 a-e	ló	lö́	ló	lǚ	raʔ	70	1) <i>воен.</i> бригада; бригадный; войско, армия; <i>древн.</i> отряд в 500 человек; 2) путешествовать; проживать временно (<i>напр. на чужбине</i>); останавливаться на постой; 3) путешественник; чужестранец; 4) толпой, всей массой; все; вместе, сообща; множество; 5) позвоночник, спинной хребет, <i>вм.</i> 膂		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+638&root=config		rá
竊		shēt	The phonetic is *set (MC sjet, Pek. xie) name of the ancestor of the Yin-Shang dynasty.			shiēt	shiāt		3985					0309 a	shiēt	chiet	shiēt	qiè	shēt	116	1) воровать, красть; присваивать; 2) украдкой, втихомолку, про себя; 3) <i>вежл.</i> мой; по-моему; я		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1220&root=config		shjāt
幾		kǝj	Also read *kǝjʔ, MC kɨ́j, Pek. jǐ 'few, a while, how many'; *kǝj 'be near, close'.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1372&root=config	kɨj	kǝj		0					0547 a-b	kɨj	kɨj	kɨj	jī	kǝj	0			response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=2173&root=config		kǝj
遺		lwǝj			response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2217&root=config	źwɨj	źwǝj		6622					0540 m-n	jwɨj	jwi	jwɨj	yí	luj	162	1) оставить (<i>в наследство</i>), завещать; посмертный; 2) покинуть, бросить; оставить; потерять; утраченный, утерянный; 3) быть забытым; 4) просочиться; 5) помочиться, испражняться; поллюция; [wèi] подарить	40.3_	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1831&root=config	di	lwǝj
塈		g(h)rǝć	Also has a MC reading xɨ̀ (FQ 許既), Pek. xì id. (with irregular initial, but pointing to the fact that OC *-r- here may be secondary, from a prefix); also used for homonymous OC *g(h)rǝts (~-ps,-js) 'to take, collect' (thus in Shijing 20,3) and *g(h)rǝts (~-ps,-js) 'to rest' (in Shijing 249,4).			g(h)iś	g(h)rǝś		244					0515 h	g(h)ì	gì	g(h)ìj	jì	g(h)rǝts (~ -ps, ~ -js)	32	1) штукатурить; 2) прекращать; отдыхать, <i>вм.</i> 息	20.3_, 35.6_			g(h)rǝś
裁		ʒhǝ̄	For *ʒ́h cf. Xiamen, Chaozhou, Fuzhou  chai<sup>2</sup>.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1516&root=config	ʒhǝ̄	ʒhǝ̄		6826					0943 |c ́	ʒhǝ̄j	ʒʌj	ʒhǝ̄	cái	ʒ́hǝ̄	145	1) кроить, выкраивать; покрой, фасон; 2) отрезать, ампутировать; сокращать, уменьшать; 3) решать; распоряжаться; 4) складывать, слагать (<i>напр. стихи</i>); 5) только тогда (<i>вм.</i> 纔)				ʒhǝ̄
守		tú	Also read *tuʔ-s, MC śǝ̀w 'territory in somebody's guard, fief'. For *t (without fricativization) cf. Xiamen ciu<sup>3</sup>.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+259&root=config	ćíw	ćǝ́w		3184					1099 a-b	ćǝ́w	śǝ́w	ćǝ́w	shǒu	tuʔ	40	1) охранять, защищать, оборонять; 2) удерживать; сохранять; блюсти; держаться (<i>чего-л.</i>); 3) ждать; 4) <i>стар.</i> правитель; 5) душевная чистота; [shòu] зимняя охота, <i>см.</i> 狩				tǝ́w
蠹									8709					0795 r				dù		142	1) книжный червь; моль; изъесть; изъеденный; 2) вредить, портить; вредный; подрывать (<i>чье-л.</i>) благосостояние (здоровье); 3) расхищать; казнокрадство				
坼		thrāk	Also read cè in Mand.			ṭhạ̄k	ṭhāk		2019					0792 d	ṭhạ̄k	ṭhạik	ṭhạ̄k	chè	thrāk	32	1) трещины; трескаться; лопаться, разрывать(ся); прорастать (<i>о зернах</i>); распускаться; 2) <i>см.</i> 拆		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1061&root=config		ṭhāk
豎		dhoh	Probably related to 樹 q.v., whence *dh-.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2076&root=config	ʒhò	ʒhoh		593					0127 e-g	ʒhò	ʒ́ǜ	ʒhò	shù	dhoʔs	151	1) поставить прямо; водрузить, поднять; 2) прямой, отвесный, вертикальный, перпендикулярный; 3) вертикальная черта (<i>в письме</i>); 4) мальчик-слуга; 5) мелкий чиновник				dhoh
嗇					response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1589&root=config				1825					0926 a-d				sè		30	1) скупой, алчный; скряга; быть скупым; 2) запасать, копить; 3) <i>древн.</i> амбар, житница				
葬		cāŋh			response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1711&root=config	cā̀ŋ	cāŋh		2758					0702 a	cā̀ŋ	cầŋ	cā̀ŋ	zàng	cāŋs (~ ć-)	140	1) хоронить, закапывать; 2) повредить; погубить		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1134&root=config		cāŋh
亶		tā́n				tā́n	tā́n		40					0148 a	tā́n	tấn	tā́n	dǎn	tānʔ	8	<i>древн.</i> на самом деле, действительно; правильно!, правда!				tā́n
棺		kwān	Also read *kʷān-s, MC kwần, Mand. àn 'to put into a coffin' (whence a colloquial Viet. loan: quàn 'to leave the corpse in temporary shelter prior to burial').			kwān	kwān		1463					0157 e	kwān	kwân	kwān	guān	kʷān	75	гроб; класть в гроб			quan	kwān
前	ʒa7-	ʒēn	For *ʒ́ cf. Xiamen cĩ<sup>2</sup>, Chaozhou cõĩ<sup>2</sup>, Fuzhou seŋ<sup>2</sup>.	cɨ7-	response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+688&root=config	ʒiēn	ʒiān		2846			ćɛ̃2-		0245 a-d	ʒiēn	ʒien	ʒiēn	qián	ʒ́ēn	18	1) перед; передний; впереди; <i>сокр.</i> фронт; 2) предыдущий, прошедший; бывший; позавчера; прежде, раньше; до, до того как...; перед; ...тому назад; 3) <i>послелог</i> (<i>часто с предшествующим</i> 在 <i>или</i> 當) <i>заканчивает конструкцию обстоятельства времени или места</i>; 4) быть раньше, случиться прежде; накануне; до того, перед; 5) продвигаться; вести вперед	38.1			ʒjān
茹		n(h)a	Used also for *n(h)a-s 'to examine, scrutinize' (thus in Shi 26,2); in the die-sheng 茹藘 *n(h)a-r(h)a 'Chinese madder (Rubia cordiflora)'. Also read *n(h)aʔ (MC ńö́, FQ 人渚), *n(h)aʔ-s (MC ńö̀, FQ 人恕), Pek. rǔ, rù 'to swallow'.			ń(h)o	ń(h)a		1087					0094 r	ń(h)o	ńö	ń(h)o	rú	n(h)a	140	1) сплетенные корни; 2) есть, питаться; кушанье, блюдо; 3) сгнить, протухнуть; 4) Жу (<i>фамилия</i>)	26.2_	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+518&root=config		n(h)a
臣		ghin	Sch.: "Anyone whose life is dedicated to serving a superior (as opposed to  士"). For *gh- cf. Chaozhou chiŋ<sup>2</sup>, Jianou chɛiŋ<sup>9</sup>.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+298&root=config	ghjin	ghjǝn		834					0377 a-f	ghjin	ʒ́in	ghjin	chén	ghin	131	1) министр (<i>в монархиях</i>); вельможа; сановник; 2) подданный; покорный слуга; я; 3) <i>ист.</i> раб; вассал; 4) подчинять себе; подчиняться				ghjǝn
冾									0									xiá		0					
羆		p(r)aj				pe	p(r)e		8610						pe	pe	pe	bī	p(r)aj (~ -ej)	122	<i>зоол.</i> бурый медведь (Ursus arctus)		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+443&root=config		p(r)aj
曀		ʔīć				ʔiēś	ʔiǝ̄ś		578	ai	ai;ei;kageru;kurai		ei	0395 i	ʔiḕj	ʔìej	ʔiḕj	yì	ʔīts	72	мгла; пасмурно и ветрено	30.3_, 30.4			ʔjǝ̄ś
稯		cōŋ	= 總 q.v.			cōŋ	cōŋ		0					1177 e	cwōŋ	cuŋ	cōŋ	zōng	cōŋ	0			response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1174&root=config		cōŋ
戣									0					0605 f				kuí		0					
髽		crwāj				c̣wạ̄	c̣wǟ		287					0012 g	c̣wạ̄	c̣wạ	c̣wạ̄	zhuā	ćrōj	190	траурная прическа женщины				c̣wāj
白	pa2	brāk	Min forms: Xiamen, Chaozhou peʔ<sup>8</sup>, Fuzhou pak<sup>8</sup>, Jianou pa<sup>8</sup>.	per2	response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+201&root=config	bẹ̄k	brāk		1627	biyaku	haku;byaku;shiro;shira;shiroi	pɛ2	haku	0782 a-e	bẹ̄k	bạ̈ik	bẹ̄k	bái	brāk	106	1) белый; светлый; ясный; чистый; побелеть; 2) понятный; популярный; понимать; 3) откровенный; простой; 4) устный, разговорный; живой (<i>о речи</i>); говорить; 5) траурный; 6) пустой; пропуск, белое пятно; 7) побледнеть, измениться в лице; 8) зря, напрасно; безуспешно; 9) Бай, Бо (<i>фамилия</i>)	23.1, 23.2	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=++43&root=config	bạch	brāk
堯		ŋēw	The meaning 'high' is attested during Late Zhou. For *ŋ cf. Fuzhou ŋieu<sup>2</sup>, Jianou iau<sup>9</sup>.			ŋiēw	ŋiāw		7312					1164 a	ŋiēw	ŋiew	ŋiēw	yáo	ŋēw	32	1) Яо (<i>легендарный император Китая, 2156 г. до н. э.</i>); 2) высокий, выдающийся; возвышенный, славный; 3) Яо (<i>фамилия</i>)				ŋjāw
繩	?čer6	lǝŋ	Standard Sino-Viet. is thằng.	ńɨ3	response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2428&root=config	źɨŋ	źǝŋ		7176			jɨ̃2		0892 b	źɨŋ	źiŋ	źɨŋ	shéng	lǝŋ	120	1) веревка; связывать; 2) отбивной шнур (<i>плотничий</i>); разметка; 3) мерить, измерять; 4) законы, правила; по правилам; 5) прямой; выпрямлять, выправлять; 6) продолжать; 7) репутация	5.2_	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1856&root=config	thù'ng	lǝŋ
眷					response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1244&root=config				1701									juàn		109	1) любить; заботиться; 2) семья, родные				
輻									1727					0933 j				fú		159	1) спицы (<i>колеса</i>); 2) собирать(ся); концентрировать(ся)				
上	?dõ1-, ḍõ1	daŋh	Also read *daŋʔ-s, MC ʒ́àŋ (FQ 時亮), Mand. shàng 'upper part, above'. Standard Sino-Viet. has thu'õ'ng for *ʒ́áŋ and thu'ọ'ng for *ʒ́àŋ. For *d- cf. Min forms: Xiamen cĩũ<sup>6</sup> 'rise', Chaozhou cĩẽ<sup>4</sup> 'rise', cĩẽ<sup>6</sup> 'above', Fuzhou sioŋ<sup>6</sup> 'rise, above', Jianou ciɔŋ<sup>6</sup> id. Etymologically the word can hardly be kept separated from OC 拯 *tǝŋʔ 'to lift', 尚 *daŋ 'upwards' q. v.	?tou1-	response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=++20&root=config	ʒ́àŋ	ʒ́aŋh		79	ziyau	jō;shō;ue;uwa;kami;ageru;agaru;noboru;noboseru;nobosu;tatematsuru;hotori	?tõ1-, cõ1	siyau	0726 a-d	ʒ́àŋ	ʒ́àŋ ʒ́áŋ	ʒ́àŋ	shàng shǎng	daŋʔs daŋʔ	1	1) верх; верхний; наверху; сверху; вверх; 2) <i>послелог обстоятельства места</i> (<i>часто начинающегося глаголом</i> 在) на; 3) <i>сев. диал. послелог времени</i> в то время, когда; 4) предыдущий, вышеуказанный; прошлый; 5) высшего сорта, превосходный, высший; 6) <i>служебный глагол направления</i> <i>в обстоятельствах времени</i> к, в; 7) император, богдыхан; [shǎng] 1) подниматься, восходить на...; 2) быть помещенным в..., попасть (<i>в газету</i>); занести (<i>в список</i>); 3) подать, представить (<i>жалобу</i>); 4) приступить (<i>к исполнению обязанностей</i>); 5) закрыть; застегнуть; замкнуть; 6) завести (<i>часы</i>); заправить (<i>маслом</i>); наладить; 7) положить (<i>удобрение</i>); покрыть; [-shang] 1) <i>видовой суффикс</i>, <i>указывающий на завершение действия</i>; 2) <i>см.</i> 上來	28.3, 33.2, 38.1, 48.1_, 48.2, 48.3		thu'ọ'ng	daŋh
溉									7558					0515 l				gài		85	1) орошать, поливать; 2) мыть, промывать				
讎		dhu	In the earliest texts used with the meanings: ('to counter' >) 'respond, answer'; 'pledge with wine a second time, to requite' (in this sense also written as **). A somewhat later meaning is 'counterpart, adversary, enemy'. For *dh- cf. Min forms: Chaozhou chiu<sup>2</sup>, Longdu chaw<sup>2</sup>.			ʒhiw	ʒhǝw		861	zu, zju			siu	1091 a-b	ʒhǝw	ʒ́ǝw	ʒhǝw	chóu	dhu	149	1) враг, противник, <i>вм.</i> 仇; 2) сличать, сопоставлять; 3) равный; пара; 4) отблагодарить; возместить; 5) отвечать; 6) соответствовать	35.5_	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+505&root=config	thù	dhǝw
祊		prāŋ				pẹ̄ŋ	prēŋ		0					0740 |j ́	pẹ̄ŋ	pạ̈iŋ	pẹ̄ŋ	bēng	prāŋ	0					prāŋ
惎									8453					0952 |c ́				jì		61	1) губить; 2) ненавидеть; 3) учить, научить				
祭		ceć	During LZ also attested as *ćrēts (MC c̣ạ̈̀j, Pek. zhài) 'name of a state'.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1250&root=config	cjeś	cjaś		8205					0337 a-d	cjèj	cjèj	cjèj	jì	ćets	113	приносить жертву (<i>духам или предкам</i>); молиться; обрядовый, ритуальный		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1293&root=config	tế	cjaś
供		koŋ	Also read *koŋ-s, MC kö̀uŋ, Mand. gòng id.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+480&root=config	koŋ	koŋ		7850					1182 f	koŋ	köuŋ	koŋ	gōng	koŋ	9	1) снабжать, предоставлять, давать; 2) показывать (<i>на суде</i>); давать показания; [gòng] 1) поднести, подарить; предложить в жертву; 2) накрыть (<i>на стол</i>); подать; поставить; 3) жареная лапша с медом			cung	koŋ
衡					response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2198&root=config				2971					0748 h-i				héng		144	1) взвешивать; измерять; оценивать; весы; безмен; 2) поперечина на дышле; поперечный; поперек; 3) Хэн (<i>фамилия</i>)				
審		tǝ́m	Standard Sino-Viet. is thâ`m.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1968&root=config	ćím	ćǝ́m		1784					0665 a	ćím	śím	ćím	shěn	tǝmʔ	40	1) расследовать, ревизовать; вникать, доискиваться; допрашивать, вести следствие; судить; 2) действительно, в самом деле			thấm	tǝ́m
絹		kwenh			response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1684&root=config	kjwèn	kjwanh		3532					0228 f	kjwèn	kjwèn	kjwèn	juàn	kʷens	120	тонкий шелк; тафта; шелка				kwjanh
懶		rā́n	For *r cf. Xiamen lan<sup>3</sup>, Chaozhou, Fuzhou laŋ<sup>3</sup>.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2410&root=config	lā́n	rā́n		8024						lā́n	lấn	lā́n	lǎn	rānʔ	61	1) лениться; лень; ленивый; 2) не иметь расположения, охоты к (<i>чему-л.</i>)				rā́n
敝		beć	For *b cf. Fuzhou pe<sup>6</sup>, Chaozhou pi<sup>4</sup>.   Since Late Zhou written also as 弊 with a shifted meaning: 'to damage, harm; vice, evil'.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1180&root=config	bjeś	bjaś		6207					0341 a-c	bjèj	bjèj	bjèj	bì	bets	66	1) рваный, истрепанный; испорченный; разорванный; ломать, портить; 2) <i>вежл.</i> мой, наш; 3) устать		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+184&root=config	tệ	bjaś
棄		khǝć	The character obviously has 葉 *lhap as phonetic, which accounts for the reconstruction of *-l-; this medial can possibly also explain the otherwise strange MC -j- (normally khjì would presuppose an OC form like *khić, but the word 棄 rhymes in *-ǝć in Shijing, the analysis in ROCP 572 being incorrect).		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1202&root=config	khɨś	khǝś		5359					0535 a-b	khɨ̀j	khjì	khɨ̀j	qì	khlǝps	75	1) бросить, отбросить; оставить, покинуть; отказаться от..., воздержаться от...; 2) упразднить, отменить; 3) забыть; 4) продать	10.2_	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=2319&root=config		khǝś
秕									0					0566 q-r				bi		0					
攩									8534									dǎng		64	1) ударить; 2) воспрепятствовать; преградить дорогу; 3) помочь перейти, перевести (<i>через улицу</i>)				
篴									0					1022 d						0					
巳		lhǝ́				zhjɨ́	zhjǝ́		7089					0967 a-c	zhjɨ́	zjɨ́	zhjɨ́	sì	lhǝʔ	49	1) 6-ой знак двенадцатеричного цикла; шестой; июнь (<i>перед датой</i>); 2) время с 9 до 11 часов утра; 3) Сы (<i>фамилия</i>)			tỵ	lhǝ́
輴									1691					0465 d				chūn		159	дроги				
奸		kān	Pek. jiān is due to confusion with 姦 q.v.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+254&root=config	kān	kān		2355					0139 c-d	kān	kân	kān	jiān	kān	38	1) подделывать; фальшивый; вероломный, бесчестный; 2) совершать преступление; предавать; преступление; предатель; 3) распутство; распутничать; обесчестить; совратить				kān
